@relation Twitter

@attribute First-person numeric
@attribute Second-person numeric
@attribute Third-person numeric
@attribute Coordinating-Conjuction numeric
@attribute Past-tense-verbs numeric
@attribute Future-tense-verbs numeric
@attribute Commas numeric
@attribute Colons-semi-colons numeric
@attribute Dashes numeric
@attribute Parenthesis numeric
@attribute Ellipses numeric
@attribute Common-nouns numeric
@attribute Proper-nouns numeric
@attribute Adverbs numeric
@attribute wh-words numeric
@attribute Slang numeric
@attribute Upper-case-words
@attribute Average-sentence-length
@attribute Average-token-length
@attribute Number-of-sentences
@attribute Classname

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
3,2,0,1,2,0,0,0,0,0,0,7,0,1,0,0,1,7.25,4.19230769231,4,ladygaga
7,0,1,1,0,0,2,0,0,0,0,4,0,2,0,0,5,11.6666666667,2.96666666667,3,ladygaga
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5.0,3.0,1,ladygaga
1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,8.0,4.71428571429,1,ladygaga
2,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,2,6.5,4.3,4,ladygaga
3,0,0,1,1,0,1,0,0,0,0,4,3,1,1,0,3,26.0,3.70833333333,1,ladygaga
2,0,0,0,0,0,1,1,0,1,0,6,1,1,0,0,1,21.0,4.29411764706,1,ladygaga
4,1,0,2,0,0,2,0,0,0,0,7,0,0,0,0,4,18.0,3.0625,2,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,6,4.25,3.69230769231,4,ladygaga
5,0,0,2,1,0,2,0,0,0,0,6,0,1,0,0,4,15.5,3.92857142857,2,ladygaga
0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,9,12.0,5.22222222222,1,ladygaga
2,1,0,1,0,0,0,1,0,0,0,7,1,3,0,1,1,13.0,4.04347826087,2,ladygaga
0,0,0,0,0,0,0,1,0,0,0,4,5,1,0,0,10,4.6,3.72222222222,5,ladygaga
2,0,0,3,0,0,2,0,1,0,0,6,0,0,0,0,2,24.0,4.28571428571,1,ladygaga
1,0,1,1,1,0,1,1,1,1,0,5,0,1,0,0,0,7.66666666667,3.82352941176,3,ladygaga
0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,12.0,3.7,1,ladygaga
3,0,1,2,0,0,0,0,0,0,0,11,0,0,0,0,5,6.5,4.0,4,ladygaga
0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,0,20.0,5.0,1,ladygaga
2,2,0,0,1,1,1,0,0,0,0,8,0,3,0,1,3,9.66666666667,3.59259259259,3,ladygaga
1,0,0,1,0,0,1,0,0,0,0,6,2,1,0,0,3,29.0,4.14814814815,1,ladygaga
0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,17.0,4.93333333333,1,ladygaga
2,0,1,0,0,0,2,0,1,0,0,6,0,2,0,0,1,8.33333333333,3.65,3,ladygaga
0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,22,4.14285714286,4.09090909091,7,ladygaga
1,1,1,0,0,0,0,0,0,0,0,6,2,2,0,0,1,9.66666666667,3.69230769231,3,ladygaga
